ID	Cluster
0	1.0
1	1.0
2	0.0
3	1.0
4	0.0
5	1.0
6	1.0
7	1.0
8	2.0
9	1.0
10	0.0
11	1.0
12	1.0
13	1.0
14	1.0
15	1.0
16	1.0
17	2.0
18	1.0
19	2.0
20	1.0
21	1.0
22	0.0
23	0.0
24	1.0
25	1.0
26	1.0
27	1.0
28	1.0
29	2.0
30	1.0
31	1.0
32	2.0
33	1.0
34	1.0
35	1.0
36	0.0
37	1.0
38	0.0
39	2.0
40	0.0
41	1.0
42	0.0
43	1.0
44	1.0
45	1.0
46	1.0
47	0.0
48	2.0
49	2.0
50	1.0
51	2.0
52	0.0
53	1.0
54	1.0
55	1.0
56	0.0
57	1.0
58	2.0
59	1.0
60	0.0
61	0.0
62	0.0
63	1.0
64	1.0
65	2.0
66	0.0
67	1.0
68	0.0
69	2.0
70	0.0
71	1.0
72	2.0
73	0.0
74	0.0
75	1.0
76	2.0
77	0.0
78	1.0
79	0.0
80	0.0
81	0.0
82	0.0
83	2.0
84	1.0
85	1.0
86	0.0
87	1.0
88	0.0
89	0.0
90	2.0
91	1.0
92	1.0
93	0.0
94	1.0
95	1.0
96	0.0
97	0.0
98	0.0
99	0.0
